device_name,sub_folder_name,positive_Ids_minima_1,positive_Ids_minima_2,negative_Ids_minima_1,negative_Ids_minima_2,diff_positive_Ids_minima,diff_negative_Ids_minima,positive_Vds_minima_1,positive_Vds_minima_2,negative_Vds_minima_1,negative_Vds_minima_2,diff_positive_Vds_minima,diff_negative_Vds_minima,diff_dominant_positive_negative_Ids_minima,diff_dominant_positive_negative_Vds_minima
D35,antibody,-25.463877810630784,-25.351786536542754,-21.20256485476684,-21.114318406457155,0.11209127408802999,0.08824644830968609,0.65,0.2,-0.25,-0.15,-0.45,0.1,-4.261312955863943,0.9
D35,dose-10,-24.0612518277189,-23.977354417570357,-22.520996699509027,-21.218711671657072,0.08389741014854124,1.3022850278519549,0.3,0.6,-0.1,-0.5,0.3,-0.4,-1.5402551282098713,0.4
D35,dose-12,-26.70086692739524,-26.09663007781736,-23.512769615531063,-23.429878072416937,0.6042368495778803,0.08289154311412616,0.75,0.15,-0.35,-0.25,-0.6,0.09999999999999998,-3.188097311864176,1.1
D35,dose-14,-24.258977951696743,-23.061908251895883,-21.350817992165947,-21.15283886985817,1.1970696998008599,0.19797912230777825,0.7,0.35,-0.3,-0.2,-0.35,0.09999999999999998,-2.9081599595307956,1.0
D35,dose-16,-29.28159252972946,-28.86535553799951,-29.65930425231796,-25.584852013512286,0.4162369917299493,4.074452238805673,0.95,0.05,-0.75,-0.15,-0.8999999999999999,0.6,0.3777117225885007,1.7
D35,dose-6,-24.566882809710496,-23.683708189721955,-21.39610091217302,-21.233257808297157,0.8831746199885409,0.16284310387586132,0.25,0.65,-0.25,-0.4,0.4,-0.15000000000000002,-3.170781897537477,0.5
D35,dose-8,-24.573944479633774,-23.72452334654324,-23.188838204388727,-23.18419037038917,0.8494211330905337,0.004647833999555928,0.6,0.2,-0.2,-0.05,-0.39999999999999997,0.15000000000000002,-1.3851062752450467,0.8
D36,antibody,-24.04124678330993,-23.418969076460083,-21.100068126610932,-20.750975426037005,0.6222777068498466,0.3490927005739266,0.7,0.2,-0.35,-0.25,-0.49999999999999994,0.09999999999999998,-2.941178656698998,1.0499999999999998
D36,dose-10,-26.787817339161922,-26.750150329285653,-23.582104626045936,-23.537753800395034,0.037667009876269475,0.04435082565090198,0.8,0.2,-0.2,-0.35,-0.6000000000000001,-0.14999999999999997,-3.205712713115986,1.0
D36,dose-12,-27.552117518333084,-27.363592772504035,-23.799390712713226,-23.680117839906497,0.18852474582904932,0.11927287280672871,0.15,0.8,-0.5,-0.4,0.65,0.09999999999999998,-3.752726805619858,0.65
D36,dose-14,-23.23328846893305,-22.835298341223243,-21.23727084292918,-21.088038190885495,0.39799012770980724,0.1492326520436862,0.75,0.2,-0.15,-0.35,-0.55,-0.19999999999999998,-1.9960176260038693,0.9
D36,dose-16,-31.211315259629043,-29.744767600980385,-29.867850304097335,-25.503789910412863,1.4665476586486577,4.364060393684472,0.9,0.05,-0.6,-0.15,-0.85,0.44999999999999996,-1.343464955531708,1.5
D36,dose-6,-24.82162444468058,-23.791758068556597,-21.366643142933736,-21.252490014181735,1.0298663761239837,0.11415312875200101,0.25,0.75,-0.25,-0.4,0.5,-0.15000000000000002,-3.4549813017468445,0.5
D36,dose-8,-23.834815329640822,-23.7665007039449,-23.3170792830189,-23.0755434010664,0.06831462569592262,0.24153588195249753,0.25,0.6,-0.2,-0.05,0.35,0.15000000000000002,-0.5177360466219234,0.45
D37,antibody,-24.254946689440853,-23.32379480841543,-21.384302909508126,-21.218381346663016,0.9311518810254249,0.16592156284511006,0.8,0.25,-0.3,-0.2,-0.55,0.09999999999999998,-2.8706437799327276,1.1
D37,dose-10,-27.690325572047318,-27.141337415915984,-23.717601086792605,-23.650610755634975,0.5489881561313332,0.06699033115762987,0.2,0.9,-0.4,-0.5,0.7,-0.09999999999999998,-3.9727244852547123,0.6000000000000001
D37,dose-12,-29.781481007564036,-28.082939199061734,-25.27435511754733,-23.869886118634213,1.698541808502302,1.4044689989131172,0.65,0.25,-0.15,-0.7,-0.4,-0.5499999999999999,-4.507125890016706,0.8
D37,dose-14,-23.668130106536005,-22.534313329901778,-21.38777152907239,-21.12923472192884,1.1338167766342266,0.25853680714354965,0.25,0.65,-0.1,-0.3,0.4,-0.19999999999999998,-2.280358577463616,0.35
D37,dose-16,-30.309306710725604,-29.72892402479619,-28.834500042232314,,0.5803826859294148,,0.05,0.85,-0.55,,0.7999999999999999,,-1.4748066684932901,0.6000000000000001
D37,dose-6,-24.565133313702155,-24.1619719580255,-22.68409908359008,-21.483422856502568,0.4031613556766551,1.2006762270875129,0.25,0.7,-0.1,-0.35,0.44999999999999996,-0.24999999999999997,-1.8810342301120748,0.35
D37,dose-8,-25.891467638171093,-24.181646456286035,-23.568015873462276,-23.38202457098106,1.709821181885058,0.18599130248121654,0.6,0.25,-0.2,-0.05,-0.35,0.15000000000000002,-2.3234517647088175,0.8
D45,antibody,-28.85447579899598,-27.987419526677538,-23.9198861629162,,0.8670562723184432,,0.35,0.2,-0.25,,-0.14999999999999997,,-4.934589636079782,0.6
D45,dose-10,-26.223650429206742,-25.697010052458918,-23.764148207759245,-23.725970360242485,0.5266403767478245,0.03817784751676001,0.75,0.2,-0.15,-0.3,-0.55,-0.15,-2.4595022214474973,0.9
D45,dose-12,-30.616571402295456,-27.776300677406052,-23.846265732985543,-23.820211681077698,2.840270724889404,0.026054051907845377,1.15,0.2,-0.1,-0.2,-0.95,-0.1,-6.770305669309913,1.25
D45,dose-14,-22.521666308899402,-22.393717822023074,-21.163152683728196,-20.854000344502996,0.12794848687632765,0.3091523392252,0.1,0.4,-0.35,-0.25,0.30000000000000004,0.09999999999999998,-1.3585136251712058,0.44999999999999996
D45,dose-16,-29.30477784030472,-27.175306591417257,-32.692686581137586,-26.414833220523352,2.1294712488874623,6.277853360614234,0.55,0.8,-0.75,-0.35,0.25,0.4,3.3879087408328665,1.3
D45,dose-6,-23.455872597394656,-22.774700070591773,-21.34878259372992,-21.05362412191863,0.6811725268028823,0.2951584718112876,0.2,0.6,-0.15,-0.05,0.39999999999999997,0.09999999999999999,-2.1070900036647373,0.35
D45,dose-8,-24.19217155831697,-23.752513529838218,-22.651711383875202,-22.646562802218313,0.43965802847875324,0.005148581656889917,0.2,0.7,-0.2,-0.05,0.49999999999999994,0.15000000000000002,-1.540460174441769,0.4
D46,antibody,-22.241528013714653,-21.664535203561375,-21.241515450454326,-20.939672382929334,0.5769928101532784,0.3018430675249917,0.65,0.15,-0.15,-0.3,-0.5,-0.15,-1.0000125632603272,0.8
D46,dose-10,-27.409398720986278,-26.702880867697242,-23.65079942095913,-23.576339497962824,0.7065178532890357,0.07445992299630788,0.2,0.85,-0.45,-0.35,0.6499999999999999,0.10000000000000003,-3.7585993000271465,0.65
D46,dose-12,-30.40695783646519,-30.350166137562457,-30.486209144490232,-28.739811324346213,0.056791698902731724,1.7463978201440185,0.95,0.85,-0.2,-0.45,-0.09999999999999998,-0.25,0.07925130802504299,1.15
D46,dose-14,-23.938418601014487,-23.316117673110966,-21.489835255598663,-21.31423574298891,0.6223009279035203,0.17559951260975382,0.1,0.65,-0.2,-0.1,0.55,0.1,-2.4485833454158232,0.30000000000000004
D46,dose-16,-31.230111055652678,-28.506589378234892,-29.999897732337885,-25.007679490753304,2.7235216774177857,4.992218241584581,0.8,0.05,-0.65,-1.35,-0.75,-0.7000000000000001,-1.2302133233147927,1.4500000000000002
D46,dose-6,-23.535563839669056,-23.315883763266772,-21.42827003493164,-21.253830840008778,0.21968007640228393,0.17443919492286142,0.15,0.7,-0.3,-0.1,0.5499999999999999,0.19999999999999998,-2.1072938047374166,0.44999999999999996
D46,dose-8,-26.113413445312737,-25.657134553257755,-23.390900846261378,-23.18147836630276,0.45627889205498207,0.20942247995861862,0.65,0.25,-0.25,-0.1,-0.4,0.15,-2.7225125990513597,0.9
D47,antibody,-23.38458943011902,-22.71051478070686,-21.21605853567083,-21.005899474218822,0.6740746494121623,0.21015906145200702,0.65,0.1,-0.3,-0.2,-0.55,0.09999999999999998,-2.1685308944481925,0.95
D47,dose-10,-28.398982364022743,-26.555984563789146,-23.679242924818396,-23.64282441627756,1.8429978002335972,0.03641850854083728,0.85,0.2,-0.4,-0.5,-0.6499999999999999,-0.09999999999999998,-4.719739439204346,1.25
D47,dose-12,-28.532637790343944,-27.642925391488955,-23.856521460394465,-23.816348570261074,0.8897123988549893,0.04017289013339109,0.15,0.75,-0.45,-0.35,0.6,0.10000000000000003,-4.67611632994948,0.6
D47,dose-14,-22.84113640524603,-21.95582023114147,-21.17205826277781,-20.764454148552577,0.8853161741045597,0.4076041142252329,0.75,0.15,-0.3,-0.2,-0.6,0.09999999999999998,-1.6690781424682193,1.05
D47,dose-16,-29.998383691942614,-29.86760688028404,-30.026723095753404,-26.437644250816014,0.13077681165857413,3.58907884493739,0.9,0.05,-0.6,-0.1,-0.85,0.5,0.02833940381079003,1.5
D47,dose-6,-23.63731305990293,-23.503970605368565,-22.597800794493914,-21.492433093489083,0.13334245453436466,1.1053677010048304,0.25,0.75,-0.1,-0.4,0.5,-0.30000000000000004,-1.0395122654090159,0.35
D47,dose-8,-25.976954065351244,-25.88992356150272,-23.638369728213885,-23.475887239570184,0.08703050384852418,0.1624824886437004,0.25,0.6,-0.2,-0.05,0.35,0.15000000000000002,-2.338584337137359,0.45
D55,antibody,-30.20973659311463,-26.591698923286003,-23.91147425100572,,3.6180376698286274,,0.25,0.45,-0.25,,0.2,,-6.2982623421089095,0.5
D55,dose-10,-28.62742976663786,-26.54050820551709,-23.861617531581977,-23.76373191284071,2.0869215611207714,0.097885618741266,0.2,0.8,-0.35,-0.25,0.6000000000000001,0.09999999999999998,-4.765812235055883,0.55
D55,dose-12,-29.246370466534803,-26.870121833317786,-23.821347608270223,-23.80660821214442,2.376248633217017,0.01473939612580466,0.15,0.8,-0.35,-0.45,0.65,-0.10000000000000003,-5.42502285826458,0.5
D55,dose-14,-22.99590094208606,-22.805458359105575,-21.248737018579654,-21.18735324161289,0.19044258298048433,0.061383776966764,0.7,0.15,-0.25,-0.05,-0.5499999999999999,0.2,-1.747163923506406,0.95
D55,dose-16,-29.680320724449853,-29.620928399095693,-30.07734148454191,-25.549793669925606,0.05939232535416039,4.527547814616305,0.9,0.05,-0.55,-0.15,-0.85,0.4,0.3970207600920581,1.4500000000000002
D55,dose-6,-23.722528334414754,-22.967342427879892,-21.39001356970538,-21.16852518664385,0.7551859065348623,0.22148838306152996,0.2,0.65,-0.25,-0.4,0.45,-0.15000000000000002,-2.332514764709373,0.45
D55,dose-8,-27.970601156774435,-26.01194975452621,-23.750206051824595,-23.69782191717418,1.9586514022482255,0.05238413465041347,0.15,0.7,-0.2,-0.35,0.5499999999999999,-0.14999999999999997,-4.220395104949841,0.35
D55,dose-8,-25.794352017951883,-25.71850525806471,-23.855727754941377,-23.538214402256266,0.07584675988717393,0.31751335268511127,0.25,0.7,-0.1,-0.2,0.44999999999999996,-0.1,-1.9386242630105066,0.35
D56,antibody,-25.23127301522187,-23.682583253158374,-21.24874412187819,-20.86793017143292,1.5486897620634963,0.380813950445269,0.7,0.2,-0.15,-0.3,-0.49999999999999994,-0.15,-3.98252889334368,0.85
D56,dose-10,-26.22360147319371,-26.06882157232132,-23.54640707538609,-23.36287872085338,0.15477990087239135,0.183528354532708,1.0,0.15,-0.35,-0.25,-0.85,0.09999999999999998,-2.6771943978076216,1.35
D56,dose-12,-28.124358553357645,-27.50933459767195,-23.88420063762738,-23.785550391224785,0.6150239556856967,0.09865024640259534,0.15,0.85,-0.45,-0.55,0.7,-0.10000000000000003,-4.240157915730265,0.6
D56,dose-14,-23.360364685638054,-23.21058298966362,-21.14078373903522,-20.814594921835713,0.1497816959744327,0.3261888171995082,0.15,0.55,-0.3,-0.2,0.4,0.09999999999999998,-2.2195809466028322,0.44999999999999996
D56,dose-16,-29.589581138325233,-29.040325795489462,-29.767801134717573,-24.604051837452715,0.5492553428357709,5.163749297264857,0.85,0.05,-0.55,-1.8,-0.7999999999999999,-1.25,0.17821999639233965,1.4
D56,dose-6,-24.469054324233532,-23.1268111411538,-21.368994650964044,-21.332864094565075,1.3422431830797308,0.03613055639896956,0.2,0.8,-0.2,-0.05,0.6000000000000001,0.15000000000000002,-3.100059673269488,0.4
D56,dose-8,-24.381922631550907,-23.893137234886797,-23.251665545372393,-21.554177356420517,0.4887853966641096,1.6974881889518763,0.25,0.65,-0.15,-0.7,0.4,-0.5499999999999999,-1.1302570861785135,0.4
D57,antibody,-25.747092759229115,-23.406091371901898,-21.18985641727564,-20.98016694168386,2.3410013873272177,0.2096894755917802,0.7,0.3,-0.2,-0.1,-0.39999999999999997,0.1,-4.557236341953477,0.8999999999999999
D57,dose-10,-28.161032447324793,-25.833296142423272,-23.733949324953613,-23.549113573810132,2.3277363049015207,0.18483575114348127,0.9,0.15,-0.25,-0.15,-0.75,0.1,-4.4270831223711795,1.15
D57,dose-12,-28.402537272299657,-26.52941331828064,-23.882510474467306,-23.803301883632617,1.873123954019018,0.07920859083468912,0.8,0.15,-0.4,-0.3,-0.65,0.10000000000000003,-4.520026797832351,1.2000000000000002
D57,dose-14,-22.5957615042569,-22.327263076718054,-21.103663817237933,-20.772499569477745,0.26849842753884445,0.3311642477601886,0.2,0.6,-0.35,-0.25,0.39999999999999997,0.09999999999999998,-1.4920976870189655,0.55
D57,dose-16,-30.274967577897186,-29.2693231169736,-29.603744344175308,-27.3044549254268,1.0056444609235875,2.299289418748508,0.8,0.05,-0.6,-0.8,-0.75,-0.20000000000000007,-0.6712232337218786,1.4
D57,dose-6,-24.43073705175148,-23.776849705711527,-22.794359122488935,-21.345504142726572,0.6538873460399515,1.4488549797623627,0.7,0.25,-0.15,-0.6,-0.44999999999999996,-0.44999999999999996,-1.6363779292625438,0.85
D57,dose-8,-26.08981921861231,-25.033731168047435,-23.516467146411372,-23.485905812492696,1.056088050564874,0.030561333918676326,0.25,0.55,-0.2,-0.05,0.30000000000000004,0.15000000000000002,-2.5733520722009366,0.45
D65,antibody,-29.15664283386958,-27.017620853458858,-23.795909392874517,,2.139021980410721,,0.2,0.45,-0.4,,0.25,,-5.360733440995062,0.6000000000000001
D65,dose-10,-29.301309957034547,-27.037970551906888,-23.85387669589602,-23.618689534427126,2.2633394051276596,0.23518716146889318,0.8,0.2,-0.5,-0.4,-0.6000000000000001,0.09999999999999998,-5.447433261138528,1.3
